"","Control_3","Control_4","Control_7","Control_9","Control_13","FCDI_1","FCDI_2","FCDI_3","FCDI_4","FCDI_5","FCDII_1","FCDII_2","FCDII_3","FCDII_4","FCDII_5","FCDII_6","FCDII_12","FCDII_14","FCDII_15","FCDII_16","FCDII_17","FCDII_18","FCDIII_2","FCDIII_4","FCDIII_5","HME_1","HME_2","HME_3","HME_11","HME_12","HME_13","HME_14","TSC_1","TSC_2","TSC_5"
"A1BG",209481,120434,304521,159372,992587,302653,398017,197735,337352,61476.5,273459,96952.1,290644,530459,102845,137930,249896,257424,48725,200374,102089,150694,95517.1,888154,153847,161454,148274,2358400,130832,286055,478810,76038.4,236457,583257,32976.5
"A2M",5639680,5205390,5837050,3522720,18434300,4853190,7841420,4624180,10292400,4307760,7275300,4222910,7810050,16342600,7832750,4776070,3837770,8339160,3442780,4334190,3651140,4253350,3304460,11803400,5008060,8821550,5109800,62703100,14918000,10377100,11023000,3179870,8152090,10408200,2288160
"A2ML1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAAS",NA,22364.4,20886.2,18128.9,19775,20962,20870.6,25660.2,22697.5,20558.3,21417.1,28115.9,33904.9,26482,38967.8,26347.3,17613.7,27362.6,27473.8,20105.4,17089.6,20111.1,23934.1,NA,27093.8,NA,17063.1,24041.1,22603.1,16921.5,22542.3,20542.4,29110.1,18699.5,28713.6
"AACS",88659,134640,96743.9,116248,104508,114440,74835.3,63445,100186,73501.8,77525.7,86179.6,97356.4,102383,86307.6,68005.9,111813,74558.4,150329,63643.3,131040,90530.3,107791,63461.6,103328,58502.7,47761.5,72498.6,26898.3,59010.5,98480.8,45590,80824.5,37900.7,73920
"AADAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24188.4,NA,NA
"AADAT",34928.7,40632.5,121389,73128.5,30987.6,83173.2,134286,97499.9,75106.1,95337.8,98507.2,92888.7,62854.8,143084,30132.2,108194,45227.3,27926.7,61932.8,90980.9,74234.1,NA,44210,58594.8,NA,NA,140627,96777.1,99192.5,146191,92275.1,153915,13078.7,35126.2,71031.4
"AAGAB",64267.6,88633,33369.7,30244.8,68298.4,NA,NA,21717.7,27309.7,NA,33860,49921.3,55742.2,NA,58657.8,21478.7,19387.2,33862.5,32756.6,46704.7,21777.3,NA,28483.6,NA,40108,28091.7,NA,61452.7,NA,29445.5,61975.9,21275.6,45928.3,59760.3,24666.3
"AAK1",2101150,1336650,1715960,1287420,1527690,2054050,1510570,1462630,1762990,1725360,1268830,1483370,1328400,1674740,891771,1629780,1808590,1192870,1667450,1332670,1663640,958369,1566140,1205740,1224630,1207700,1386500,1768620,962692,1637340,2028670,1125920,1219440,715398,1390190
"AAMDC",37510.5,32717.6,63578,117772,NA,45620.1,51606.7,59864.9,65272.9,32947,64274,89584.7,97039.7,44871.3,273321,60123.5,NA,161100,106406,42241.4,40282.8,182849,60378,50115.9,88710.4,NA,38199.8,NA,104151,20980.6,33345.7,45800.7,66590.8,339580,93686.6
"AAMP",35539.6,44116.4,31495.7,37090,30820.3,36573.7,35781.7,34064.3,27470.3,35543.2,32888.1,31344.1,40055.2,32396.8,37935,34060.2,32407.8,35108.4,32791.2,29456.6,31001.5,36998.2,36258,38908.7,37624.9,NA,37828.3,37327.8,33376.6,34004.2,37474.8,32187.6,41022.5,41424.3,38630.8
"AAR2",NA,NA,40267.1,NA,NA,NA,NA,NA,NA,37895.7,NA,23963.2,NA,NA,46763.6,NA,NA,NA,NA,34951.9,NA,32972.4,NA,25420.6,NA,NA,NA,51507.4,NA,34384.2,NA,NA,NA,33127.8,NA
"AARS1",1523770,2888450,1728130,2781450,2085530,1937530,1955570,1884880,1810140,1759730,2674420,2152100,2070910,1628990,2547130,1489000,1862610,2435790,1775180,1711650,1382670,2632170,1870870,2090910,2251660,2750390,1680950,1941040,2590020,1604810,1644020,1612360,2339300,2657980,1666660
"AARS2",42292.8,120720,72901.3,108400,72525.1,106153,112178,89781.4,99680.1,98962,88012.5,78730.9,77481.3,118844,76222,84616.5,79517.4,56741,96645.2,70771.7,99513.7,112568,76987.5,121076,74581.2,66341.1,125942,119343,44397.1,109624,115825,83635,69083.6,75885.5,91344.4
"AARSD1",209385,344210,211609,254257,239716,193664,230399,188972,223043,215514,215072,204300,186386,232982,135293,251391,225054,176879,210123,190568,205047,148243,223196,275211,231728,181335,185562,303286,94889.8,230124,235739,214627,169232,70983.3,79163.3
"AASDHPPT",364845,674573,622225,669820,459503,563384,565989,530985,528583,626521,569210,642981,454029,604996,650838,564202,500651,634850,538345,637295,492811,422447,516690,739475,621222,617978,388129,594350,644154,578959,524491,696579,645392,483209,527985
"AASS",NA,167747,95941.1,95723.3,91705.1,100068,95969.1,103498,89263.5,151278,108576,126902,154331,137700,189953,164902,52919.6,163603,105344,100479,108385,186632,84397.3,64237.4,161660,147545,91753.6,162321,368361,181484,119156,130196,153853,304038,174724
