"","Control_3","Control_4","Control_7","Control_9","Control_13","FCDI_1","FCDI_2","FCDI_3","FCDI_4","FCDI_5","FCDII_1","FCDII_2","FCDII_3","FCDII_4","FCDII_5","FCDII_6","FCDII_12","FCDII_14","FCDII_15","FCDII_16","FCDII_17","FCDII_18","FCDIII_2","FCDIII_4","FCDIII_5","HME_1","HME_2","HME_3","HME_11","HME_12","HME_13","HME_14","TSC_1","TSC_2","TSC_5"
"A1BG",12.2523930957987,11.6988654672869,12.6264986131117,11.9790026457965,13.8080709526004,12.6203455178193,12.8942525093746,12.1946880866635,12.7288851388573,11.0264265331953,12.5189106378631,11.4819826354046,12.5798578701603,13.1814998336279,11.5409880027351,11.8345088390977,12.4288041119491,12.458483694525,10.7939680475105,12.2079458899119,11.5336100561631,11.9230132055638,11.4670710373063,13.6969015562919,11.9437203809907,11.9919817450472,11.9068239367069,14.6734944049933,11.7816769797625,12.5639428748307,13.079061226504,11.2390069059873,12.3735258812912,13.2763849060348,10.4035807897231
"A2M",15.545338061591,15.4652053772867,15.5797362615128,15.0747442603185,16.7297236719258,15.3951469847116,15.8749306259028,15.3468098321669,16.1469164139256,15.2759288375393,15.7999957447364,15.2560352586289,15.8709220518842,16.6092858146549,15.8738243472574,15.3791287999407,15.1604022872767,15.9364731697541,15.0517901329784,15.2820455302504,15.1105502794483,15.2632177008092,15.0107839317349,16.2838982682474,15.4265593721991,15.9927082628633,15.446671018173,17.9539214621154,16.5180791625304,16.1551121096036,16.2154946476649,14.9723511878958,15.9137850167272,16.1581046110556,14.643258996139
"AACS",11.392564108299,11.8103672560504,11.4798328963243,11.6634897212621,11.5570284710804,11.6478146853293,11.2230583403631,11.0579444293901,11.5147937186969,11.2050787797134,11.2583776721384,11.3642003733178,11.4861440222925,11.5364857293792,11.365684524482,11.1273644495987,11.6245920554769,11.2193514021168,11.9205881566219,11.0610650477367,11.7832655303154,11.4134509262471,11.5879587232004,11.0582060349881,11.54567335143,10.9768452790831,10.7739960917552,11.1913363235862,10.1998555429465,10.9854876191486,11.4976270385142,10.7274656076017,11.3000477887793,10.5427512449458,11.2107522343626
"AAK1",14.5579958477824,14.1056777898477,14.355483831499,14.0681515504142,14.2392680031275,14.5353244987632,14.2279982830074,14.1957474267263,14.3825223564322,14.3609468619149,14.0536065620989,14.2098277584103,14.0994865212698,14.3311690844197,13.7009657735084,14.3039562079282,14.4080586470514,13.9918735644707,14.3268066710328,14.1026957569949,14.3245191318946,13.7729892036831,14.2641251897939,14.0026048736695,14.018150132094,14.0042291102833,14.1422938652782,14.3857107048518,13.7774898445233,14.3085841425405,14.5228914568186,13.9341119253626,14.0139031149839,13.4805957079867,14.1449517057389
"AARS1",14.236698741471,14.8762309302375,14.3625510356579,14.8384832919483,14.5505340570495,14.4769250400816,14.4861927803682,14.449375246898,14.4089153007604,14.3806715144239,14.7992434662857,14.581955132248,14.5434991650458,14.303471362707,14.7504781856975,14.2136159832576,14.4374898247754,14.7057821077437,14.3894129475239,14.3529689597624,14.139527693699,14.7833195389218,14.4419146557921,14.5531104141381,14.6271787240508,14.8272536413541,14.33487026265,14.4787349850605,14.767176541751,14.288516550603,14.3126556282393,14.2932101223861,14.6653627247601,14.793077369998,14.3263327817245
"AARS2",10.6523957821876,11.701237377039,11.1968754675676,11.5935925930374,11.1917017760583,11.5726461489462,11.6278510887776,11.4051442439902,11.5097313692734,11.5025013218858,11.3852454907853,11.2738036890005,11.2578048021604,11.6855754020675,11.2414185334014,11.3458963799946,11.2837437204037,10.9462699562436,11.4788121667399,11.1672286121013,11.5080606509279,11.6313216459479,11.2514113390326,11.7041819858218,11.2196571518228,11.1025799671101,11.7435847026261,11.6897653581949,10.7009519547119,11.6048207296745,11.6598443439622,11.3342293283913,11.1430871195051,11.2369940819511,11.4224032047638
"AARSD1",12.2519347174949,12.7490101204128,12.2625002368288,12.4461047785092,12.3872143398934,12.1738851412769,12.3475722078039,12.1493594266939,12.3151243403964,12.280785791672,12.2787327843646,12.2273496755563,12.1355804363122,12.3587207685126,11.8152054672776,12.434768752834,12.3241000957593,12.0832268155313,12.2554531116276,12.157769612693,12.230999377054,11.9066148438656,12.3158100685387,12.5252969887418,12.3533238644356,12.1081069429442,12.1311497260124,12.6224348309051,11.4604820357469,12.3463779185354,12.3704847817806,12.2766615759705,12.0390317425983,11.1702140048108,11.279280718605
"AASDHPPT",12.807230625724,13.4218366595091,13.3410586497793,13.4147657914933,13.0379029258542,13.2417185100018,13.2463316891847,13.1824909345281,13.1779570120601,13.347939168424,13.25200647038,13.3738720090488,13.0259185541355,13.312978778323,13.3860175787761,13.2431693947993,13.1236665279347,13.3611456046719,13.1962567551057,13.3649895048038,13.1078830415543,12.9538216412817,13.1552002958925,13.5136971062453,13.3394453946839,13.33420975528,12.8690956140346,13.2952253329177,13.3756946593567,13.26898866954,13.1701854540806,13.4539379256204,13.3776147125542,13.0882066207528,13.1768250471853
"ABAT",15.927668653654,15.535468035247,15.6413978254945,15.7753209353746,15.6881217921062,15.6519582980248,15.8067205694793,15.3234296769778,15.3631307245925,15.2411797069058,15.9594176884347,15.4647595861528,15.188676872135,15.5629821375572,14.8286960317427,15.4725171269263,15.6183238743599,15.1381755845112,15.3391707321635,15.3382245430002,15.6183931024551,15.1739456792679,15.4981879655351,15.7554746355512,15.0918340699301,15.3974068582602,15.6251575866219,15.6730235911164,15.6047069118836,15.3083002655778,15.6329119451473,15.5068327428885,15.0806144911044,15.1382848125197,15.1516612268087
"ABCA2",10.829530575853,12.0634947420555,11.6567573746503,11.8110132101359,10.88708172962,11.3999784668114,11.081222125418,11.7810500300815,11.1081491196105,11.3906640412872,11.5267593342257,11.80563985405,12.1421366095286,10.8844605452168,12.5710177968334,10.7391624125095,10.9452525554295,12.5990197290794,11.4535490638022,11.8193875832364,11.1280744195614,11.4858327494357,11.4930288332558,10.8859386147041,11.8647928711963,12.3459215406466,11.0839900719248,10.7149887168417,11.85808839927,10.5198508762619,10.9233542086316,11.0474650994543,12.5933635996594,11.2133178989818,11.2352900883653
"ABCB6",16.5840473948927,15.9658206609246,16.4715514891314,15.9888716538858,16.092972798328,15.6694042540795,16.5610492676912,16.5521158862737,15.910960897304,15.7849490183809,16.7106543006969,16.6313563674779,16.0517176790681,16.321085554976,16.422133313553,16.5301987454723,15.7654100248136,16.3906616236681,16.6683016482081,15.6431503919476,16.3911335946528,16.7051154107528,16.4555960017461,15.68992332431,16.020176380435,16.6576254011549,16.3883518459051,16.4238878162364,16.3415752258103,16.242337869992,15.9662339660489,16.3966361411816,16.308798734418,16.1855861544554,16.313078464683
"ABCB7",9.99853406121864,11.4051654060431,11.7665982213193,11.4173359461544,11.5938231916262,11.5437553037627,11.6842450548022,11.3890139384175,11.717603574557,11.8431568392876,11.7433702969459,11.3160342848001,11.7965166812685,11.6312061545541,11.6325911717331,11.5141746843707,11.5234300976153,11.3462874755456,11.5167083010154,11.2926066702718,11.7161356604437,11.6102064287761,11.6835876479955,11.1143758893498,10.915248451416,11.0527169070008,11.6237420690703,11.7388491481341,11.7438228772569,11.7050653307015,11.6399457059791,11.810419244806,11.443925807746,12.0155051845224,11.6695787250155
"ABCB8",11.2533111160169,11.576238235182,11.5955371776152,11.5131754337254,11.9457398163002,11.5216572318937,11.7922981095509,11.5892010860745,11.6776853815796,11.6912808334943,11.6583496076604,11.5327476999173,10.9940105442194,11.9077878961605,11.1647854234813,11.5138050779972,12.0182298748474,11.3255073427223,11.6078810364539,11.5018503617978,11.7094868195539,11.4748341138475,11.4428377086012,11.1970098850191,11.4471552522786,11.0837612380932,11.7375798743633,12.1544635117969,11.7049497972256,11.8497190785158,12.1432979013565,11.8074590123711,11.3709274745018,11.3156932954405,11.6117567112652
"ABCD2",9.9505381092274,9.8224618618931,10.6616942122614,10.0073609630009,10.403626274247,10.8800000015421,10.7474935721845,10.9662049247862,10.4003765105632,10.7934076146692,10.3504080545248,10.4672660927548,10.4157211845931,11.0371355272841,9.88751567852642,10.6844326756619,10.6508956198225,10.6959029785047,10.5268477964228,10.8047397706819,10.7200750693411,10.2805943375392,10.6150270526501,10.0501905672282,9.90364753973749,9.93792279510682,10.7704241612459,10.6812745501592,10.6393852667886,11.1200250889702,10.8738080312942,10.8992177332367,10.6513998686622,9.29968735265214,10.8816708079818
